"","Country","2000","2001","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"2","Australia",NA,"0",NA,"0","0.9","0.49","0.29","0.15","0.48","1.17","2.96","1.2","10.03","22.56","5.55","5.71","1.14","1.14","3.13","0.16","0.16","0.26"
"3","Austria","0","0","0","0","0","0","0","0.1","0.03","0.39","0","0.02","0.01","0.01","0","0","0.03","0.02","0","0","0","0"
"4","Belgium",NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0","3.61","0.84","0.83","5.2","0.86","0.58","2.1","0","4.94","4.55","2.4"
"5","Canada","0","0","0","0.12","0","0.48","1.08","0.69","6.79","9.47","14.57","10.5","6.32","11.45","17.36","9.51","2.17","3.13","4.56","1.87","4.11","3.7"
"6","Czech Republic",NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.11","0.15","0.12","0","0"
"7","Denmark","3.35","3.05","0","0.13","0.21","2.19","0.67","1.41","6.3","8.33","9.56","1.73","2.1","9.48","9.76","16.45","7.83","9.9","31.36","7.3","10.6","2.35"
"8","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.66","0.39","0.39","0.23","0","0","0","0","0","0","0"
"9","Finland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA
"10","France","0","0","0.34","2.1","2.15","2.42","0.44","0.79","0.06","5.78","4.15","16.59","21.91","26.11","19.1","30.37","25.17","25.5","29.24","39.55","27.53","51.66"
"11","Germany","0","0","0","0","0","0","0","0","0","4.58","0","0","0","0","0","0","0","0","0","22.73","24.81","25.51"
"12","Greece","0","0","0",NA,NA,"0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Hungary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.02","0","0"
"14","Ireland",NA,NA,"0.39","0.14","0.32","0.9","3.88","0.89","2.01","5.92","1.89","8.14","7.87","13.69","19.21","20.53","9.72","9.03","7.11","6.8","4.38","4.14"
"15","Italy","0","0","0","0","0","0","0","0","0","0","0","8.08","11.17","0","0","0","0","0","0","0",NA,NA
"16","Japan","4.54","7.23","0","0","0","0","0","0","0","0","0","0","0","0","0","25.67","62.86","36.34","82.45","23.47","35.39","53.87"
"17","Korea",NA,NA,"0",NA,"0.33","0.9","1.62","5.07","2.6","5.17","11.19","10.31","13.27","14.94","11.1","7.5","9.39","5.19","3.92","3.15","2.08","0"
"18","Lithuania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0"
"19","Luxembourg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0.1","0.08","0.1","16.32","12.95","5.9","3.89","1.91"
"21","Netherlands","0.31","0.42","0","0.01",NA,"0","0","0","0","0.47","1.38","0","0","0","3.83","0.06","0.07","1.05","0.07","0.03","20.49","13.18"
"22","New Zealand","0","0","0","0","0","0","0.67","0.64","1.09","1.06","1.03","1","1","0.67","0.66","0.33","0.32","0","0","0","0",NA
"23","Norway","0.53","0.35","0.23","0.1","0.11","0.28","0.34","0.53","0.01","15.8","26.43","6.49","12.44","3.84","12.65","6.24","4.11","3.66","0.41","234.59","0.1","12.97"
"24","Poland",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0.04","0.03","0.1","0.17","0.05"
"25","Portugal","0.43","0.48","0.3","0.09","0.09","0.08","0.1","0.19","0.05","0.08","0.04","0.17","0.09","0.28","0.27","0.22","0","0","0","0","0","0"
"26","Slovak Republic",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0.03","0","0","0","0","0","0"
"27","Spain","0","0","0","0","0","0","2.25","3.26","5.18","0.37","10.03","0.55","5.48","3.04","3.31","5.15","1.16","0.63","8.2","1.73","1.49",NA
"28","Sweden","0","0","0","0","0","0.75","1.13","0.84","1.79","1.51","11.62","9.15","1.31","2.31","6.3","4.64","5.48","2.92","4.45","5.39","6.77","5.29"
"29","Switzerland","0","0","0","0","0","0","0","0","0","0","0.03","0.15","0.15","0.01","0.01","0","0","0.12","0","0.49","0.22","0.21"
"30","Türkiye","0","0","0","0","0","0","0.09","0","0","0",NA,NA,NA,NA,"0","0","0.11","0.06","0.06","0.05","0.3","0.96"
"31","United Kingdom","0.94","2.3","5.64","4.39","10.8","2.63","8.21","8.37","0","14","41.56","17.89","21.16","61.74","55.5","29.61","36.46","15.15","26.15","40.03","33.17","30.09"
"32","United States","0","0","0","0","0","0","0","1.65","13.51","31.14","41.85","30.35","40.71","51.6","47.5","99.92","0","0","0","0","0","0"
"33","European Union",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.99","104.11","75.39","74.62","47.39","35.93","53.26",NA
"34","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0",NA
"35","","","","","","","","","","","","","","","","","","","","","","",""
"36","","","","","","","","","","","","","","","","","","","","","","",""
"37","","","","","","","","","","","","","","","","","","","","","","",""
