,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,Australia,1963.38,1923.24,1773.64,1432.4,1249.58,1174.06,1127.4,978.01,937.33,864.74,794.33,735.22,733.1,775.32,922.45,1078.16,1022.51,1031.83,1031.86,1059.83,841.12
2,Austria,14.78,13.8,30.6,41.27,48.76,21.74,19.46,27.69,34.53,40.8,48.58,70.82,85.84,87.63,75.75,76.44,79.32,77.9,83.68,89.75,91.02
3,Belgium,739.13,820.74,838.83,921.32,941.02,1017.92,1171.39,1103.27,1067.89,941.48,1026.85,1093.77,962.7,945.75,1020.03,1069.0,1129.55,1216.34,1053.2,1007.6,997.15
4,Canada,4431.0,4508.1,4914.22,4601.91,4374.91,4071.14,3786.44,3518.16,3359.02,3217.83,3353.09,3400.54,3414.4,3574.46,3905.08,4659.55,5089.79,5201.1,5158.11,5460.01,4688.23
5,Chile,3118.12,3799.45,3821.02,4198.2,4040.81,4110.23,4144.72,4030.6,4286.76,4085.21,3237.25,3919.84,3793.58,4351.69,5534.27,4963.98,5238.27,5575.71,6103.21,6279.73,5906.26
6,Colombia,321.71,302.78,293.27,296.68,251.32,233.63,205.13,196.31,219.45,201.02,146.57,140.74,140.87,137.16,163.91,167.52,171.34,131.97,139.3,152.82,177.7
7,Costa Rica,238.9,263.6,272.04,262.7,221.92,224.9,184.7,171.94,186.24,169.06,132.74,151.43,198.09,162.21,152.71,139.07,118.14,133.06,135.84,125.21,109.25
8,Czech Republic,53.87,61.0,58.44,61.55,66.3,71.72,74.45,80.72,80.8,70.52,83.99,100.4,106.35,123.98,146.28,159.59,184.57,193.42,161.37,167.21,171.83
9,Denmark,4430.15,4296.38,4299.85,3956.92,3906.14,3924.62,4126.76,3822.07,3831.22,3471.96,3710.43,3769.1,3666.08,3966.18,4002.77,4283.33,4701.05,4735.25,4653.15,4665.58,4390.78
10,Estonia,193.48,302.49,279.36,245.36,174.78,181.38,169.83,143.65,136.26,135.86,183.61,193.43,230.99,222.02,206.45,190.87,148.51,147.9,148.9,194.17,170.77
11,Finland,26.78,22.6,21.15,15.95,15.03,18.79,27.69,46.47,42.63,44.85,43.83,45.49,54.37,51.63,47.49,42.04,63.79,162.93,195.34,174.56,186.87
12,France,1661.3,1563.49,1551.81,1552.66,1593.84,1621.4,1661.47,1713.87,1627.7,1366.48,1436.13,1449.13,1573.14,1573.71,1507.69,1642.33,1718.73,1742.46,1760.61,1724.71,1513.33
13,Germany,1617.02,1547.33,1620.7,1475.78,1469.48,1552.52,1861.86,2085.96,2095.36,2074.55,2277.45,2509.54,2549.4,2569.43,2806.67,2807.26,2970.52,2788.07,2708.93,2560.73,2407.92
14,Greece,337.71,315.0,312.28,356.87,411.48,419.94,480.68,514.26,474.01,502.59,573.47,636.86,652.28,608.86,636.46,661.96,744.96,765.88,775.41,768.39,826.73
15,Hungary,11.73,10.29,7.11,8.46,4.73,18.32,3.98,2.09,1.51,2.79,7.79,10.89,13.83,13.03,22.2,21.68,23.98,21.27,19.43,14.76,12.37
16,Iceland,1624.91,1918.18,1914.76,1686.36,1761.33,1542.7,1608.32,1570.81,2086.63,2177.46,2061.34,2274.09,2357.65,2352.88,2024.74,2075.24,1814.27,1584.08,1843.72,1990.33,2019.33
17,Ireland,492.98,605.98,563.25,479.55,483.37,435.58,422.42,431.89,402.93,408.9,482.46,538.59,676.6,630.97,683.89,682.09,665.89,739.56,703.5,666.91,635.69
18,Israel,11.68,13.04,12.84,19.29,22.55,21.47,23.8,26.43,26.79,29.24,32.87,31.54,29.89,35.47,35.05,28.79,25.5,21.16,19.53,21.64,19.96
19,Italy,611.07,621.71,635.24,549.41,573.95,629.46,730.97,700.62,660.76,608.43,636.06,664.04,613.81,658.94,710.88,765.12,784.9,815.62,824.59,799.98,802.85
20,Japan,667.69,727.2,782.6,856.69,943.75,1129.61,1357.05,1619.08,1468.49,1248.46,1475.43,1312.85,1294.06,1724.49,1743.11,1986.42,1891.96,1950.65,2175.3,2045.88,1766.97
21,Korea,2066.94,1920.0,1642.4,1463.39,1541.97,1260.72,1073.36,1150.47,1561.91,1807.01,1887.15,2267.85,2295.11,1965.31,1773.06,1681.15,1881.22,1925.2,1880.06,2087.82,1832.89
