"","Country","2000","2001","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","NA"
"2","Australia",NA,NA,NA,"571","612","590","477","374","332","332","318","325","318","306","309","298","290","315","285","294","302",NA
"3","Austria","210","210","210","200","200","200","190","190","190","190","190","180","180","180","180","180","180","180",NA,NA,NA,NA
"4","Belgium","129","130","132","126","121","120","107","102","100","89","89","86","83","80","79","76","72","70","68","68","64",NA
"5","Canada","23819","23361","22125","21221","22342","21819","21461","21183","20507","20197","19906","19520","18740","18452","18189","17856","17703","17522","18430","16911","16891",NA
"6","Chile","15629","0","0","6978","6796","7156","7080","7388","7443","7493","7815","8568","9603","8644","7154","9391","9540","9622","9563","8872","8350",NA
"7","Colombia",NA,NA,NA,NA,"396","352","281","261","200","175","158","143","135","134","134","133","175","124","120","118","46",NA
"8","Costa Rica",NA,NA,NA,"3628","3892","4051","4408","4426","4618","4736","5035","3771","1345","1552","1703","1912","1574","2644","3155","2715","2803",NA
"9","Denmark","4138","4017","3815","3567","3405","3264","3133","2957","2886","2822","2820","2783","2739","2625","2447","2356","2261","2198","2123","2077","2033",NA
"10","Estonia",NA,NA,NA,NA,"1050","1044","992","963","965","945","934","923","1360","1445","1515","1538","1557","1595","1665","1742","1828",NA
"11","Finland","3664","3613","3573","3502","3394","3268","3198","3164","3242","3271","3366","3332","3241","3211","3179","2723","3093","3224","3245","3207","3137",NA
"12","France","8229","8030","8198","8332","8206","8239","8139","8109","7373","7269","7216","7205","7138","7120","7066","6904","6833","6509","6373","6237","6224",NA
"13","Germany","2315","2282","2245","2211","2163","2116","2015","1870","1825","1769","1673","1582","1550","1532","1491","1443","1414","1377","1331","1309","1292",NA
"14","Greece","19556","19594","18975","18519","18163","17881","17624","17337","17138","17048","16913","16403","15854","15683","15603","15351","15176","14982","14745","14694","14625",NA
"15","Iceland","1740","1718","1769","1666","1570","1449","1344","1333","1166","1205","1375","1421","1449","1427","1370","1312","1279","1216","1148",NA,NA,NA
"16","Ireland","1621","1587","1593","2015","1930","1861","1845","1952","2022","2105","2144","2187","2246","2193","2157","2141","2114","2022","2035","2039","2033",NA
"17","Italy","17367","16463","15771","15473","14884","14396","14080","13755","13613","13527","13431","13023","12696","12593","12435","12300","12260","12252","12102","12125","12152",NA
"18","Japan","358687","350444","343411","337368","330807","325450","321017","313397","306581","298858","292822","268679","269736","262742","257045","250817","244569","237503","230504","225276","219485",NA
"19","Korea","95890","94935","94388","93257","91608","90735","86113","85627","80766","77713","76974","75629","75031","71287","68417","67226","66970","66736","65906","65835","65744",NA
"20","Latvia",NA,NA,NA,NA,"942","928","897","879","841","794","786","731","715","703","700","686","686","675","671","663","663",NA
