#NAME?,,,,,,,,,,,,,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,485.1,533.07,507.02,438.46,499.4,426.25,513.36,557.89,577.61,636.74,592.96,611.87,696.26,712.93,689.06,824.61,870.17,893.65,919.12,889.75,988.36
Austria,15.5,15.34,14.6,11.33,10.09,10.6,14.17,12.84,13.33,14.43,20.48,16.46,17.13,17.32,18.88,18.08,20.33,22.78,23.39,25.74,25.07
Belgium,5.65,5.56,3.36,1.65,0.81,0.64,0.53,0.52,0.69,1.05,2.59,0.41,..,0.85,0.85,0.24,..,..,..,..,..
Canada,605.08,735.16,618.03,545.98,453.97,588.03,761.34,615.14,668.33,683.04,758.19,672.45,689.36,737.69,576.57,745.25,1035.38,1041.47,1049.25,894.76,755.11
Chile,2124.58,3322.7,3356.03,4177.98,4438.63,4378.13,5023.99,5242.1,4843.2,5276.89,3475.45,5366.18,5071.61,6353.39,9379.8,6863.4,7820.29,9422.55,9243.46,10308.88,8251.27
Colombia,235.18,231.08,244.89,286.93,260.92,220.37,230.43,174.43,139.19,169,46.78,45.22,43.36,31.2,31.48,43.67,49.71,67.37,98.15,132.67,191.63
Costa Rica,25.18,28.18,64.08,63.34,61.78,66.74,63.35,53.65,49.08,26.02,22.71,22.28,22.5,22.21,22.07,21.02,24.01,22.94,22.26,21.86,18.88
Czech Republic,4.44,3.98,3.44,2.99,2.64,2.65,2.66,2.93,3.05,2.67,2.92,3.25,2.88,2.68,2.82,2.47,2.54,3.12,4.12,3.44,3.3
Denmark,235.24,240.68,167.45,127.54,143.39,130.04,134.41,99.71,106.52,105.97,116.6,123.1,101.66,122.1,114.43,130.26,135.04,135.66,124.73,136.28,138.66
Estonia,1.13,2.88,1.46,2.16,0.96,3.4,4.11,4.32,3.59,2.8,2.51,1.77,2.15,1.58,3.16,2.48,2.97,2.89,3.45,3.21,3.16
Finland,89.87,61.49,54.03,52.83,55.3,55.07,55.94,50.25,46.51,48.88,51.03,51.31,44.56,55.16,54.82,54.23,68.49,78.47,69.15,63.49,57.94
France,607.16,660.48,678.35,645.84,659.25,662.21,623.42,645.63,796.57,791.95,759.44,777.69,782.09,766.9,688.44,672.31,780.58,826.18,733.95,806.11,744.53
Germany,147.55,137.07,186.07,118.22,105.08,116.3,106.8,130.24,85.69,81.01,79.33,82.99,67.19,69.71,77.09,71.24,87.92,94.37,101.85,107.78,92.23
Greece,444.12,471.01,342.83,394.13,370.44,420.72,437.61,443.9,406.38,425.32,473.37,502.44,474.08,472.24,491.32,527.01,587.66,606.28,599.73,568.8,621.57
Hungary,0.18,0.54,0.45,0.33,0.22,0.27,0.33,0.22,0.48,0.43,0.91,0.75,0.59,0.63,0.9,1.72,1.27,1.84,1.09,1.07,1.35
Iceland,20.08,26.95,21.48,29.15,42.2,29.79,34.06,19.31,28.5,31.92,31.09,40.78,48.34,52.33,57.94,47.71,80.2,113.65,88.32,161.51,235.11
Ireland,157.25,141.31,157.24,123.93,122.68,129.67,140.09,137.83,106.7,124.21,142.96,155.02,154.74,137.69,139.94,158.93,170.03,212.29,187.72,177.11,183.41
Israel,43.93,45.19,37.7,35.48,40.09,43.09,53.46,42.86,44.41,30.65,35.41,37.43,45.09,48.16,45.57,37.31,38.98,43.8,39.36,45.99,36.85
Italy,726.15,664.37,499.84,612.46,387.81,629.61,609.34,718.46,452.04,560.14,388.55,462.95,393.95,439.78,405.2,401.77,430.78,429.65,494.74,466.78,410.98
Japan,3964.22,3898.7,3760.43,3651.94,3615.55,3696.26,3810.89,3868.94,3708.88,3676.61,3867.26,3689.78,3925.09,3859.34,4139,4469.21,4691.22,4813.33,4738.79,4536.76,4585.68
Korea,924.63,906.55,977.84,1375.24,1428.05,1555.61,1685.72,1814.09,1735.68,1984.04,1943.48,1933.87,1821.23,1832.31,2014.42,2103.8,2268.64,2755.29,2853.08,2689.65,2701.48
Latvia,0.05,0.11,0.12,0.07,0.02,0.05,0.15,0.38,0.41,0.2,0.2,0.22,0.36,0.44,0.63,1.16,0.71,0.77,0.6,0.37,0.65
Lithuania,0.09,0.06,0.16,0.06,0.07,0.32,0.43,0.45,0.71,0.53,0.25,0.5,0.72,1.16,0.9,1.61,2.08,1.33,1.5,1.72,1.03
Mexico,255.45,372.05,281.75,262.58,334.01,433.31,499.99,447.98,477.19,473.52,341.65,373.1,376.56,361.48,479.07,593.04,751.11,773.63,712.71,908.83,990.43
Netherlands,155.74,163.55,120.71,133.79,123.26,117.64,116.72,127.72,107.9,91.12,118.01,84.41,102.29,116.28,103.45,111.16,90.67,99.9,100.53,79.76,77.61
New Zealand,203.06,216.38,221.17,392.28,222.94,260.41,294.63,465.62,424.51,155.52,346.97,260.21,341.16,337.4,462.19,666.55,788.12,769.69,770.87,817.77,902.4
Norway,2448.86,1812.3,1868.28,1869.79,2091.39,2335.44,2750.95,2663.98,2429.87,3268.93,4196.34,3701.02,3722.09,4890.85,5341.03,5811.47,8060.12,7868.84,7702.16,8182.92,8134.11
Poland,36.87,34.66,33.21,33.49,40.67,47.27,46.3,43.57,36.34,40.1,33.5,28.27,35.46,40.11,50,44.51,56.21,55.04,68.78,77.72,82.48
Portugal,82.35,90.18,62.12,49.09,39,43.93,53.36,47.78,47.33,39.7,55.33,67.67,62.52,62.5,58.75,59.79,66.01,89.3,103.4,106.6,88.35
Slovak Republic,3.84,3.58,3.01,2.48,2.47,2.16,2.07,1.93,2.63,1.58,1.78,1.87,2.71,2.67,3,3.24,3.94,3.1,3.11,3.47,2.49
Slovenia,5.1,4.84,4.36,3.92,4.67,3,3.58,3.04,3.6,2.89,2.01,3.22,3,3.61,3.66,4.44,5.14,4.59,6.26,6.11,5.29
Spain,537.53,544.45,443.11,361.03,419.96,344.76,363.84,368,462.33,438.52,460.13,498.51,472.81,479.97,527.74,571.76,621.71,633.78,616.15,676.09,601.05
Sweden,20.45,23.72,20.72,21.63,20.38,21.99,28.49,19.52,29.64,22.83,37.6,48.16,49.35,51.38,51.7,46.04,56.71,59.33,56.03,43.34,38.98
Switzerland,17.97,18.36,18.47,18.21,18.65,15.4,15.18,14.26,13.7,15.14,14.81,14.83,15.77,15.7,15.62,16.62,28.07,28.15,30.24,31.89,30.35
Türkiye,329.77,273.93,224.47,387.61,472.46,538.52,558.88,531.04,500.16,535.5,558.54,618.17,731.44,731.88,855.81,943.83,1100.65,1239.76,1474.02,1776.96,2184.11
United Kingdom,638.77,733.15,731.27,621.94,619.47,632.75,753.37,822,897.13,834.98,847.51,1059.84,944.07,1241.83,1274.98,1127.81,1269.97,1675.79,1389.37,1625.97,1460.11
United States,358.46,354.97,288.78,349.93,396.49,390.53,406.05,369.02,386.11,389.31,417.16,448.69,452.46,609.8,525.73,520.07,587.22,562.63,644.69,567.91,511.35
OECD - Total,15956.6,16778.55,16018.35,17205.77,17505.19,18352.92,20200.01,20561.54,19636,20984.13,20245.76,21806.71,21716.61,24683.24,28708.04,27719.84,32654.65,35453.19,35076.09,36949.06,35157.36
  Argentina,6.73,8.2,20.3,17.66,23.59,21.52,27.73,20.89,11.76,9.49,14.2,11.24,10.35,12.77,15.08,14.63,9.8,10.03,7.93,8.58,7.57
  Bangladesh,386.51,363.65,383.64,373.69,380.31,386.11,461.43,459.89,467.81,719.73,599.75,709.24,877.11,923.61,1035.92,988.6,835.36,829.86,760.2,749.94,751.46
  Brazil,134.63,198.62,322.58,433.51,328.7,216.42,187.4,214.82,274.99,299.65,343.19,349.41,353.83,291.21,294.17,307.14,271.9,269.74,298.28,305.97,326.05
