"","Date","Beach","Attendance","Month","Year"
"1","05/27/2017","Orchard",550,"May","2017"
"2","05/27/2017","Coney Island",30000,"May","2017"
"3","05/27/2017","Manhattan",3800,"May","2017"
"4","05/27/2017","Rockaway",6000,"May","2017"
"5","05/27/2017","Midland",1200,"May","2017"
"6","05/27/2017","South beach",1550,"May","2017"
"7","05/27/2017","Wolfe's Pond",175,"May","2017"
"8","05/27/2017","Cedar Grove",50,"May","2017"
"9","05/28/2017","Orchard",1400,"May","2017"
"10","05/28/2017","Coney Island",49000,"May","2017"
"11","05/28/2017","Manhattan",2200,"May","2017"
"12","05/28/2017","Rockaway",6400,"May","2017"
"13","05/28/2017","Midland",1200,"May","2017"
"14","05/28/2017","South beach",1500,"May","2017"
"15","05/28/2017","Wolfe's Pond",300,"May","2017"
"16","05/28/2017","Cedar Grove",45,"May","2017"
"17","05/29/2017","Orchard",100,"May","2017"
"18","05/29/2017","Coney Island",2100,"May","2017"
"19","05/29/2017","Manhattan",220,"May","2017"
"20","05/29/2017","Rockaway",900,"May","2017"
"21","05/29/2017","Midland",1500,"May","2017"
"22","05/29/2017","South beach",1600,"May","2017"
"23","05/29/2017","Wolfe's Pond",25,"May","2017"
"24","05/29/2017","Cedar Grove",0,"May","2017"
"25","05/30/2017","Orchard",300,"May","2017"
"26","05/30/2017","Coney Island",1000,"May","2017"
"27","05/30/2017","Manhattan",190,"May","2017"
"28","05/30/2017","Rockaway",500,"May","2017"
"29","05/30/2017","Midland",450,"May","2017"
"30","05/30/2017","South beach",475,"May","2017"
"31","05/30/2017","Wolfe's Pond",35,"May","2017"
"32","05/30/2017","Cedar Grove",23,"May","2017"
"33","05/31/2017","Orchard",450,"May","2017"
"34","05/31/2017","Coney Island",2300,"May","2017"
"35","05/31/2017","Manhattan",600,"May","2017"
"36","05/31/2017","Rockaway",800,"May","2017"
"37","05/31/2017","Midland",145,"May","2017"
"38","05/31/2017","South beach",245,"May","2017"
"39","05/31/2017","Wolfe's Pond",35,"May","2017"
"40","05/31/2017","Cedar Grove",10,"May","2017"
"41","06/01/2017","Orchard",900,"June","2017"
"42","06/01/2017","Coney Island",8000,"June","2017"
"43","06/01/2017","Manhattan",1100,"June","2017"
"44","06/01/2017","Rockaway",4300,"June","2017"
"45","06/01/2017","Midland",895,"June","2017"
"46","06/01/2017","South beach",1025,"June","2017"
"47","06/01/2017","Wolfe's Pond",45,"June","2017"
"48","06/01/2017","Cedar Grove",50,"June","2017"
"49","06/02/2017","Orchard",1100,"June","2017"
"50","06/02/2017","Coney Island",9500,"June","2017"
"51","06/02/2017","Manhattan",750,"June","2017"
"52","06/02/2017","Rockaway",4300,"June","2017"
"53","06/02/2017","Midland",350,"June","2017"
"54","06/02/2017","South beach",450,"June","2017"
"55","06/02/2017","Wolfe's Pond",74,"June","2017"
"56","06/02/2017","Cedar Grove",30,"June","2017"
"57","06/03/2017","Orchard",1800,"June","2017"
"58","06/03/2017","Coney Island",46000,"June","2017"
"59","06/03/2017","Manhattan",800,"June","2017"
"60","06/03/2017","Rockaway",8400,"June","2017"
"61","06/03/2017","Midland",650,"June","2017"
"62","06/03/2017","South beach",800,"June","2017"
"63","06/03/2017","Wolfe's Pond",535,"June","2017"
"64","06/03/2017","Cedar Grove",55,"June","2017"
"65","06/04/2017","Orchard",300,"June","2017"
"66","06/04/2017","Coney Island",16000,"June","2017"
"67","06/04/2017","Manhattan",400,"June","2017"
"68","06/04/2017","Rockaway",1900,"June","2017"
"69","06/04/2017","Midland",2900,"June","2017"
"70","06/04/2017","South beach",950,"June","2017"
"71","06/04/2017","Wolfe's Pond",150,"June","2017"
"72","06/04/2017","Cedar Grove",33,"June","2017"
"73","06/05/2017","Orchard",150,"June","2017"
"74","06/05/2017","Coney Island",14000,"June","2017"
"75","06/05/2017","Manhattan",680,"June","2017"
"76","06/05/2017","Rockaway",600,"June","2017"
"77","06/05/2017","Midland",250,"June","2017"
"78","06/05/2017","South beach",450,"June","2017"
"79","06/05/2017","Wolfe's Pond",105,"June","2017"
"80","06/05/2017","Cedar Grove",20,"June","2017"
"81","06/06/2017","Orchard",35,"June","2017"
"82","06/06/2017","Coney Island",1650,"June","2017"
"83","06/06/2017","Manhattan",175,"June","2017"
"84","06/06/2017","Rockaway",700,"June","2017"
"85","06/06/2017","Midland",200,"June","2017"
"86","06/06/2017","South beach",550,"June","2017"
"87","06/06/2017","Wolfe's Pond",35,"June","2017"
"88","06/06/2017","Cedar Grove",15,"June","2017"
"89","06/07/2017","Orchard",700,"June","2017"
"90","06/07/2017","Coney Island",15000,"June","2017"
"91","06/07/2017","Manhattan",400,"June","2017"
"92","06/07/2017","Rockaway",900,"June","2017"
"93","06/07/2017","Midland",450,"June","2017"
"94","06/07/2017","South beach",575,"June","2017"
"95","06/07/2017","Wolfe's Pond",85,"June","2017"
"96","06/07/2017","Cedar Grove",50,"June","2017"
"97","06/08/2017","Orchard",350,"June","2017"
"98","06/08/2017","Coney Island",8000,"June","2017"
"99","06/08/2017","Manhattan",600,"June","2017"
"100","06/08/2017","Rockaway",1800,"June","2017"
"101","06/08/2017","Midland",500,"June","2017"
"102","06/08/2017","South beach",700,"June","2017"
"103","06/08/2017","Wolfe's Pond",65,"June","2017"
"104","06/08/2017","Cedar Grove",50,"June","2017"
"105","06/09/2017","Orchard",1600,"June","2017"
"106","06/09/2017","Coney Island",13000,"June","2017"
"107","06/09/2017","Manhattan",1150,"June","2017"
"108","06/09/2017","Rockaway",6200,"June","2017"
"109","06/09/2017","Midland",700,"June","2017"
"110","06/09/2017","South beach",1050,"June","2017"
"111","06/09/2017","Wolfe's Pond",225,"June","2017"
"112","06/09/2017","Cedar Grove",75,"June","2017"
"113","06/10/2017","Orchard",21200,"June","2017"
"114","06/10/2017","Coney Island",75000,"June","2017"
"115","06/10/2017","Manhattan",2300,"June","2017"
"116","06/10/2017","Rockaway",205450,"June","2017"
"117","06/10/2017","Midland",3350,"June","2017"
"118","06/10/2017","South beach",2400,"June","2017"
"119","06/10/2017","Wolfe's Pond",309,"June","2017"
"120","06/10/2017","Cedar Grove",175,"June","2017"
"121","06/11/2017","Orchard",86000,"June","2017"
"122","06/11/2017","Coney Island",360000,"June","2017"
"123","06/11/2017","Manhattan",7000,"June","2017"
"124","06/11/2017","Rockaway",157000,"June","2017"
"125","06/11/2017","Midland",8500,"June","2017"
"126","06/11/2017","South beach",7500,"June","2017"
"127","06/11/2017","Wolfe's Pond",1100,"June","2017"
"128","06/11/2017","Cedar Grove",450,"June","2017"
"129","06/12/2017","Orchard",8500,"June","2017"
"130","06/12/2017","Coney Island",132000,"June","2017"
"131","06/12/2017","Manhattan",5500,"June","2017"
"132","06/12/2017","Rockaway",65500,"June","2017"
"133","06/12/2017","Midland",950,"June","2017"
"134","06/12/2017","South beach",1250,"June","2017"
"135","06/12/2017","Wolfe's Pond",350,"June","2017"
"136","06/12/2017","Cedar Grove",170,"June","2017"
"137","06/13/2017","Orchard",3500,"June","2017"
"138","06/13/2017","Coney Island",76000,"June","2017"
"139","06/13/2017","Manhattan",1900,"June","2017"
"140","06/13/2017","Rockaway",80800,"June","2017"
"141","06/13/2017","Midland",750,"June","2017"
"142","06/13/2017","South beach",1150,"June","2017"
"143","06/13/2017","Wolfe's Pond",135,"June","2017"
"144","06/13/2017","Cedar Grove",225,"June","2017"
"145","06/14/2017","Orchard",8000,"June","2017"
"146","06/14/2017","Coney Island",7500,"June","2017"
"147","06/14/2017","Manhattan",650,"June","2017"
"148","06/14/2017","Rockaway",4900,"June","2017"
"149","06/14/2017","Midland",375,"June","2017"
"150","06/14/2017","South beach",450,"June","2017"
"151","06/14/2017","Wolfe's Pond",75,"June","2017"
"152","06/14/2017","Cedar Grove",55,"June","2017"
"153","06/15/2017","Orchard",900,"June","2017"
"154","06/15/2017","Coney Island",7500,"June","2017"
"155","06/15/2017","Manhattan",830,"June","2017"
"156","06/15/2017","Rockaway",8200,"June","2017"
"157","06/15/2017","Midland",375,"June","2017"
"158","06/15/2017","South beach",480,"June","2017"
"159","06/15/2017","Wolfe's Pond",160,"June","2017"
"160","06/15/2017","Cedar Grove",35,"June","2017"
"161","06/16/2017","Orchard",150,"June","2017"
"162","06/16/2017","Coney Island",4000,"June","2017"
"163","06/16/2017","Manhattan",300,"June","2017"
"164","06/16/2017","Rockaway",2300,"June","2017"
"165","06/16/2017","Midland",250,"June","2017"
"166","06/16/2017","South beach",350,"June","2017"
"167","06/16/2017","Wolfe's Pond",80,"June","2017"
"168","06/16/2017","Cedar Grove",27,"June","2017"
"169","06/17/2017","Orchard",550,"June","2017"
"170","06/17/2017","Coney Island",306000,"June","2017"
"171","06/17/2017","Manhattan",350,"June","2017"
"172","06/17/2017","Rockaway",2500,"June","2017"
"173","06/17/2017","Midland",1375,"June","2017"
"174","06/17/2017","South beach",2750,"June","2017"
"175","06/17/2017","Wolfe's Pond",55,"June","2017"
"176","06/17/2017","Cedar Grove",25,"June","2017"
"177","06/18/2017","Orchard",1400,"June","2017"
"178","06/18/2017","Coney Island",69500,"June","2017"
"179","06/18/2017","Manhattan",1250,"June","2017"
"180","06/18/2017","Rockaway",43400,"June","2017"
"181","06/18/2017","Midland",3200,"June","2017"
"182","06/18/2017","South beach",3300,"June","2017"
"183","06/18/2017","Wolfe's Pond",490,"June","2017"
"184","06/18/2017","Cedar Grove",95,"June","2017"
"185","06/19/2017","Orchard",900,"June","2017"
"186","06/19/2017","Coney Island",7300,"June","2017"
"187","06/19/2017","Manhattan",350,"June","2017"
"188","06/19/2017","Rockaway",4500,"June","2017"
"189","06/19/2017","Midland",650,"June","2017"
"190","06/19/2017","South beach",800,"June","2017"
"191","06/19/2017","Wolfe's Pond",105,"June","2017"
"192","06/19/2017","Cedar Grove",75,"June","2017"
"193","06/20/2017","Orchard",5500,"June","2017"
"194","06/20/2017","Coney Island",17000,"June","2017"
"195","06/20/2017","Manhattan",2800,"June","2017"
"196","06/20/2017","Rockaway",28200,"June","2017"
"197","06/20/2017","Midland",520,"June","2017"
"198","06/20/2017","South beach",730,"June","2017"
"199","06/20/2017","Wolfe's Pond",130,"June","2017"
"200","06/20/2017","Cedar Grove",135,"June","2017"
"201","06/21/2017","Orchard",6000,"June","2017"
"202","06/21/2017","Coney Island",7500,"June","2017"
"203","06/21/2017","Manhattan",1100,"June","2017"
"204","06/21/2017","Rockaway",24200,"June","2017"
"205","06/21/2017","Midland",700,"June","2017"
"206","06/21/2017","South beach",1650,"June","2017"
"207","06/21/2017","Wolfe's Pond",90,"June","2017"
"208","06/21/2017","Cedar Grove",170,"June","2017"
"209","06/22/2017","Orchard",1300,"June","2017"
"210","06/22/2017","Coney Island",6000,"June","2017"
"211","06/22/2017","Manhattan",1350,"June","2017"
"212","06/22/2017","Rockaway",36000,"June","2017"
"213","06/22/2017","Midland",700,"June","2017"
"214","06/22/2017","South beach",1050,"June","2017"
"215","06/22/2017","Wolfe's Pond",100,"June","2017"
"216","06/22/2017","Cedar Grove",90,"June","2017"
"217","06/23/2017","Orchard",300,"June","2017"
"218","06/23/2017","Coney Island",5500,"June","2017"
"219","06/23/2017","Manhattan",600,"June","2017"
"220","06/23/2017","Rockaway",8200,"June","2017"
"221","06/23/2017","Midland",350,"June","2017"
"222","06/23/2017","South beach",500,"June","2017"
"223","06/23/2017","Wolfe's Pond",95,"June","2017"
"224","06/23/2017","Cedar Grove",16,"June","2017"
"225","06/24/2017","Orchard",20150,"June","2017"
"226","06/24/2017","Coney Island",44000,"June","2017"
"227","06/24/2017","Manhattan",1500,"June","2017"
"228","06/24/2017","Rockaway",89500,"June","2017"
"229","06/24/2017","Midland",650,"June","2017"
"230","06/24/2017","South beach",950,"June","2017"
"231","06/24/2017","Wolfe's Pond",275,"June","2017"
"232","06/24/2017","Cedar Grove",70,"June","2017"
"233","06/25/2017","Orchard",81000,"June","2017"
"234","06/25/2017","Coney Island",305000,"June","2017"
"235","06/25/2017","Manhattan",5500,"June","2017"
"236","06/25/2017","Rockaway",114800,"June","2017"
"237","06/25/2017","Midland",2300,"June","2017"
"238","06/25/2017","South beach",1800,"June","2017"
