"","Location","Water.source","TIME","Time","Value","Flag.Codes"
"43","OECD Non-EU","Ocean",2019,2019,10.0362012,NA
"44","OECD Non-EU","Ocean",2020,2020,10.40808855,NA
"45","OECD Non-EU","Ocean",2021,2021,10.78268737,NA
"46","OECD Non-EU","Ocean",2022,2022,11.15955716,NA
"47","OECD Non-EU","Ocean",2023,2023,11.53769229,NA
"48","OECD Non-EU","Ocean",2024,2024,11.9163143,NA
"49","OECD Non-EU","Ocean",2025,2025,12.294946,NA
"50","OECD Non-EU","Ocean",2026,2026,12.67278975,NA
"51","OECD Non-EU","Ocean",2027,2027,13.04939738,NA
"52","OECD Non-EU","Ocean",2028,2028,13.42364785,NA
"53","OECD Non-EU","Ocean",2029,2029,13.79594038,NA
"54","OECD Non-EU","Ocean",2030,2030,14.16508474,NA
"55","OECD Non-EU","Ocean",2031,2031,14.53108347,NA
"56","OECD Non-EU","Ocean",2032,2032,14.89344702,NA
"57","OECD Non-EU","Ocean",2033,2033,15.25195119,NA
"58","OECD Non-EU","Ocean",2034,2034,15.6060397,NA
"59","OECD Non-EU","Ocean",2035,2035,15.95522809,NA
"60","OECD Non-EU","Ocean",2036,2036,16.29938715,NA
"61","OECD Non-EU","Ocean",2037,2037,16.6380555,NA
"62","OECD Non-EU","Ocean",2038,2038,16.97040949,NA
"63","OECD Non-EU","Ocean",2039,2039,17.29641168,NA
"64","OECD Non-EU","Ocean",2040,2040,17.61550561,NA
"65","OECD Non-EU","Ocean",2041,2041,17.92737553,NA
"66","OECD Non-EU","Ocean",2042,2042,18.23163504,NA
"67","OECD Non-EU","Ocean",2043,2043,18.52757739,NA
"68","OECD Non-EU","Ocean",2044,2044,18.81501693,NA
"69","OECD Non-EU","Ocean",2045,2045,19.09351293,NA
"70","OECD Non-EU","Ocean",2046,2046,19.36295244,NA
"71","OECD Non-EU","Ocean",2047,2047,19.62277872,NA
"72","OECD Non-EU","Ocean",2048,2048,19.87299116,NA
"73","OECD Non-EU","Ocean",2049,2049,20.11355667,NA
"74","OECD Non-EU","Ocean",2050,2050,20.34496239,NA
"75","OECD Non-EU","Ocean",2051,2051,20.56808635,NA
"76","OECD Non-EU","Ocean",2052,2052,20.78309405,NA
"77","OECD Non-EU","Ocean",2053,2053,20.9903811,NA
"78","OECD Non-EU","Ocean",2054,2054,21.1905701,NA
"79","OECD Non-EU","Ocean",2055,2055,21.38397949,NA
"80","OECD Non-EU","Ocean",2056,2056,21.57073209,NA
"81","OECD Non-EU","Ocean",2057,2057,21.75139628,NA
"82","OECD Non-EU","Ocean",2058,2058,21.92587689,NA
"83","OECD Non-EU","Ocean",2059,2059,22.09507234,NA
"84","OECD Non-EU","Ocean",2060,2060,22.25881934,NA
"127","Other OECD America","Ocean",2019,2019,7.35934505,NA
"128","Other OECD America","Ocean",2020,2020,7.69398283,NA
"129","Other OECD America","Ocean",2021,2021,8.03528431,NA
"130","Other OECD America","Ocean",2022,2022,8.38267739,NA
"131","Other OECD America","Ocean",2023,2023,8.73514119,NA
"132","Other OECD America","Ocean",2024,2024,9.09237932,NA
"133","Other OECD America","Ocean",2025,2025,9.45337087,NA
"134","Other OECD America","Ocean",2026,2026,9.81775733,NA
"135","Other OECD America","Ocean",2027,2027,10.18509517,NA
"136","Other OECD America","Ocean",2028,2028,10.55453667,NA
"137","Other OECD America","Ocean",2029,2029,10.92577926,NA
"138","Other OECD America","Ocean",2030,2030,11.29865784,NA
"139","Other OECD America","Ocean",2031,2031,11.67323015,NA
"140","Other OECD America","Ocean",2032,2032,12.04894823,NA
"141","Other OECD America","Ocean",2033,2033,12.42567359,NA
"142","Other OECD America","Ocean",2034,2034,12.80335918,NA
"143","Other OECD America","Ocean",2035,2035,13.18217888,NA
"144","Other OECD America","Ocean",2036,2036,13.56120795,NA
"145","Other OECD America","Ocean",2037,2037,13.94077016,NA
"146","Other OECD America","Ocean",2038,2038,14.32040941,NA
"147","Other OECD America","Ocean",2039,2039,14.7000979,NA
"148","Other OECD America","Ocean",2040,2040,15.08035249,NA
"149","Other OECD America","Ocean",2041,2041,15.4617941,NA
"150","Other OECD America","Ocean",2042,2042,15.84415786,NA
"151","Other OECD America","Ocean",2043,2043,16.22786406,NA
"152","Other OECD America","Ocean",2044,2044,16.61305907,NA
"153","Other OECD America","Ocean",2045,2045,16.99976496,NA
"154","Other OECD America","Ocean",2046,2046,17.38802023,NA
"155","Other OECD America","Ocean",2047,2047,17.77807745,NA
"156","Other OECD America","Ocean",2048,2048,18.16966556,NA
"157","Other OECD America","Ocean",2049,2049,18.56280479,NA
"158","Other OECD America","Ocean",2050,2050,18.95706346,NA
"159","Other OECD America","Ocean",2051,2051,19.35176929,NA
"160","Other OECD America","Ocean",2052,2052,19.7467185,NA
"161","Other OECD America","Ocean",2053,2053,20.14178663,NA
"162","Other OECD America","Ocean",2054,2054,20.53623615,NA
"163","Other OECD America","Ocean",2055,2055,20.92946533,NA
"164","Other OECD America","Ocean",2056,2056,21.32133744,NA
"165","Other OECD America","Ocean",2057,2057,21.71156649,NA
"166","Other OECD America","Ocean",2058,2058,22.09938311,NA
"167","Other OECD America","Ocean",2059,2059,22.48513059,NA
"168","Other OECD America","Ocean",2060,2060,22.86846004,NA
"169","Other Africa","Ocean",2019,2019,20.83152045,NA
"170","Other Africa","Ocean",2020,2020,22.31861459,NA
"171","Other Africa","Ocean",2021,2021,23.86250515,NA
"172","Other Africa","Ocean",2022,2022,25.45990251,NA
"173","Other Africa","Ocean",2023,2023,27.10486328,NA
"174","Other Africa","Ocean",2024,2024,28.79479715,NA
"175","Other Africa","Ocean",2025,2025,30.52723112,NA
"176","Other Africa","Ocean",2026,2026,32.30046605,NA
"177","Other Africa","Ocean",2027,2027,34.11265439,NA
"178","Other Africa","Ocean",2028,2028,35.96225526,NA
"179","Other Africa","Ocean",2029,2029,37.84933374,NA
"180","Other Africa","Ocean",2030,2030,39.77560865,NA
"181","Other Africa","Ocean",2031,2031,41.74306027,NA
"182","Other Africa","Ocean",2032,2032,43.75285519,NA
"183","Other Africa","Ocean",2033,2033,45.80593485,NA
"184","Other Africa","Ocean",2034,2034,47.90360626,NA
"185","Other Africa","Ocean",2035,2035,50.04793564,NA
"186","Other Africa","Ocean",2036,2036,52.23972806,NA
"187","Other Africa","Ocean",2037,2037,54.4795702,NA
"188","Other Africa","Ocean",2038,2038,56.76864924,NA
"189","Other Africa","Ocean",2039,2039,59.10791909,NA
"190","Other Africa","Ocean",2040,2040,61.49624291,NA
"191","Other Africa","Ocean",2041,2041,63.93391354,NA
"192","Other Africa","Ocean",2042,2042,66.42113663,NA
"193","Other Africa","Ocean",2043,2043,68.9583389,NA
"194","Other Africa","Ocean",2044,2044,71.5457897,NA
"195","Other Africa","Ocean",2045,2045,74.1840886,NA
"196","Other Africa","Ocean",2046,2046,76.873575,NA
"197","Other Africa","Ocean",2047,2047,79.614807,NA
"198","Other Africa","Ocean",2048,2048,82.4078139,NA
"199","Other Africa","Ocean",2049,2049,85.2530174,NA
"200","Other Africa","Ocean",2050,2050,88.1530408,NA
"201","Other Africa","Ocean",2051,2051,91.1090594,NA
"202","Other Africa","Ocean",2052,2052,94.1220993,NA
"203","Other Africa","Ocean",2053,2053,97.1932194,NA
"204","Other Africa","Ocean",2054,2054,100.3238043,NA
"205","Other Africa","Ocean",2055,2055,103.5147122,NA
"206","Other Africa","Ocean",2056,2056,106.7667382,NA
"207","Other Africa","Ocean",2057,2057,110.0803653,NA
"208","Other Africa","Ocean",2058,2058,113.4559101,NA
"209","Other Africa","Ocean",2059,2059,116.8937674,NA
"210","Other Africa","Ocean",2060,2060,120.3937065,NA
"295","Other Eurasia","Ocean",2019,2019,2.816689519,NA
"296","Other Eurasia","Ocean",2020,2020,2.992492956,NA
"297","Other Eurasia","Ocean",2021,2021,3.175505358,NA
"298","Other Eurasia","Ocean",2022,2022,3.365433213,NA
"299","Other Eurasia","Ocean",2023,2023,3.561965274,NA
"300","Other Eurasia","Ocean",2024,2024,3.764905277,NA
"301","Other Eurasia","Ocean",2025,2025,3.974024218,NA
"302","Other Eurasia","Ocean",2026,2026,4.189119205,NA
"303","Other Eurasia","Ocean",2027,2027,4.409931281,NA
"304","Other Eurasia","Ocean",2028,2028,4.636272388,NA
"305","Other Eurasia","Ocean",2029,2029,4.86799456,NA
"306","Other Eurasia","Ocean",2030,2030,5.104935312,NA
"307","Other Eurasia","Ocean",2031,2031,5.347013064,NA
"308","Other Eurasia","Ocean",2032,2032,5.594115917,NA
"309","Other Eurasia","Ocean",2033,2033,5.846114403,NA
"310","Other Eurasia","Ocean",2034,2034,6.102928327,NA
"311","Other Eurasia","Ocean",2035,2035,6.364477121,NA
"312","Other Eurasia","Ocean",2036,2036,6.630650174,NA
"313","Other Eurasia","Ocean",2037,2037,6.901348614,NA
"314","Other Eurasia","Ocean",2038,2038,7.17653075,NA
"315","Other Eurasia","Ocean",2039,2039,7.45606592,NA
"316","Other Eurasia","Ocean",2040,2040,7.74001177,NA
"317","Other Eurasia","Ocean",2041,2041,8.02834662,NA
"318","Other Eurasia","Ocean",2042,2042,8.32096861,NA
"319","Other Eurasia","Ocean",2043,2043,8.61826716,NA
"320","Other Eurasia","Ocean",2044,2044,8.91978394,NA
"321","Other Eurasia","Ocean",2045,2045,9.22561395,NA
"322","Other Eurasia","Ocean",2046,2046,9.5358533,NA
"323","Other Eurasia","Ocean",2047,2047,9.8499973,NA
"324","Other Eurasia","Ocean",2048,2048,10.16853495,NA
"325","Other Eurasia","Ocean",2049,2049,10.49116874,NA
"326","Other Eurasia","Ocean",2050,2050,10.81770267,NA
"327","Other Eurasia","Ocean",2051,2051,11.14807014,NA
"328","Other Eurasia","Ocean",2052,2052,11.48233335,NA
"329","Other Eurasia","Ocean",2053,2053,11.82012052,NA
"330","Other Eurasia","Ocean",2054,2054,12.16148832,NA
"331","Other Eurasia","Ocean",2055,2055,12.50626744,NA
"332","Other Eurasia","Ocean",2056,2056,12.85413217,NA
"333","Other Eurasia","Ocean",2057,2057,13.20520355,NA
"334","Other Eurasia","Ocean",2058,2058,13.55947551,NA
"335","Other Eurasia","Ocean",2059,2059,13.91643499,NA
"336","Other Eurasia","Ocean",2060,2060,14.27632143,NA
"337","Latin America","Ocean",2019,2019,19.08735423,NA
"338","Latin America","Ocean",2020,2020,20.35700651,NA
"339","Latin America","Ocean",2021,2021,21.66786082,NA
"340","Latin America","Ocean",2022,2022,23.0181993,NA
"341","Latin America","Ocean",2023,2023,24.40401278,NA
"342","Latin America","Ocean",2024,2024,25.82425047,NA
"343","Latin America","Ocean",2025,2025,27.27667933,NA
"344","Latin America","Ocean",2026,2026,28.75843275,NA
"345","Latin America","Ocean",2027,2027,30.26744259,NA
