"","Location","Measure (Tonnes)","Year","Value","Flag.Codes"
"1","AUS","TONNE",1995,22395,""
"2","AUS","TONNE",1996,25323,""
"3","AUS","TONNE",1997,26543,""
"4","AUS","TONNE",1998,24570,""
"5","AUS","TONNE",1999,29601,""
"6","AUS","TONNE",2000,32083,""
"7","AUS","TONNE",2001,35883,""
"8","AUS","TONNE",2002,38908.037,""
"9","AUS","TONNE",2003,39927.4,""
"10","AUS","TONNE",2004,45083,""
"11","AUS","TONNE",2005,44852,""
"12","AUS","TONNE",2006,51649.48,""
"13","AUS","TONNE",2007,57936.12,""
"14","AUS","TONNE",2008,60804.08,""
"15","AUS","TONNE",2009,71672.163,""
"16","AUS","TONNE",2010,75678.85,""
"17","AUS","TONNE",2011,76662.49,""
"18","AUS","TONNE",2012,81832.82,""
"19","AUS","TONNE",2013,80061.471,""
"20","AUS","TONNE",2014,73177.49,""
"21","AUS","TONNE",2015,83074.9,""
"22","AUS","TONNE",2016,91596.891,""
"23","AUS","TONNE",2017,85335.483,""
"24","AUS","TONNE",2018,96131.687,""
"25","AUS","TONNE",2019,90879.907,""
"26","AUS","TONNE",2020,102674.9,""
"27","AUS","TONNE",2021,126206.338,""
"28","AUS","USD",1995,138926738,""
"29","AUS","USD",1996,169109756,""
"30","AUS","USD",1997,152725566,""
"31","AUS","USD",1998,122300181,""
"32","AUS","USD",1999,192150990,""
"33","AUS","USD",2000,253729466,""
"34","AUS","USD",2001,255158653,""
"35","AUS","USD",2002,262864370,""
"36","AUS","USD",2003,284096105,""
"37","AUS","USD",2004,375821910,""
"38","AUS","USD",2005,351835462,""
"39","AUS","USD",2006,435937172,""
"40","AUS","USD",2007,550348253,""
"41","AUS","USD",2008,597747114,""
"42","AUS","USD",2009,622509716,""
"43","AUS","USD",2010,726172130,""
"44","AUS","USD",2011,852699409,""
"45","AUS","USD",2012,969132342,""
"46","AUS","USD",2013,941627189,""
"47","AUS","USD",2014,714528621,""
"48","AUS","USD",2015,667973688,""
"49","AUS","USD",2016,753852106,""
"50","AUS","USD",2017,822430766,""
"51","AUS","USD",2018,930586713,""
